symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2020-08-21,1580.42,1597.72,1568.005,1577.03,1446453,1580.42,1597.72,1568.005,1577.03,1446453,0.0,1.0
GOOG,2020-08-24,1588.2,1614.17,1580.57,1593.98,1410229,1588.2,1614.17,1580.57,1593.98,1410229,0.0,1.0
GOOG,2020-08-25,1608.22,1611.62,1582.07,1582.07,2132084,1608.22,1611.62,1582.07,1582.07,2132084,0.0,1.0
GOOG,2020-08-26,1652.38,1659.22,1603.6,1608.0,3581072,1652.38,1659.22,1603.6,1608.0,3581072,0.0,1.0
GOOG,2020-08-27,1634.33,1655.0,1625.75,1653.68,1861602,1634.33,1655.0,1625.75,1653.68,1861602,0.0,1.0
GOOG,2020-08-28,1644.41,1647.1699,1630.75,1633.49,1499782,1644.41,1647.1699,1630.75,1633.49,1499782,0.0,1.0
GOOG,2020-08-31,1634.18,1647.965,1630.31,1647.89,1823406,1634.18,1647.965,1630.31,1647.89,1823406,0.0,1.0
GOOG,2020-09-01,1660.71,1665.73,1632.22,1636.63,1826655,1660.71,1665.73,1632.22,1636.63,1826655,0.0,1.0
GOOG,2020-09-02,1728.28,1733.1799,1666.3301,1673.7754,2511180,1728.28,1733.1799,1666.3301,1673.7754,2511180,0.0,1.0
GOOG,2020-09-03,1641.84,1709.7143,1615.06,1709.7143,3107763,1641.84,1709.7143,1615.06,1709.7143,3107763,0.0,1.0
GOOG,2020-09-04,1591.04,1645.11,1547.6125,1624.26,2608568,1591.04,1645.11,1547.6125,1624.26,2608568,0.0,1.0
GOOG,2020-09-08,1532.39,1563.865,1528.01,1533.51,2610884,1532.39,1563.865,1528.01,1533.51,2610884,0.0,1.0
GOOG,2020-09-09,1556.96,1569.0,1536.0511,1557.53,1774704,1556.96,1569.0,1536.0511,1557.53,1774704,0.0,1.0
GOOG,2020-09-10,1532.02,1584.081,1525.805,1560.64,1618557,1532.02,1584.081,1525.805,1560.64,1618557,0.0,1.0
GOOG,2020-09-11,1520.72,1575.2,1497.36,1536.0,1597087,1520.72,1575.2,1497.36,1536.0,1597087,0.0,1.0
GOOG,2020-09-14,1519.28,1563.9999,1515.74,1539.005,1696589,1519.28,1563.9999,1515.74,1539.005,1696589,0.0,1.0
GOOG,2020-09-15,1541.44,1559.57,1531.835,1536.0,1331082,1541.44,1559.57,1531.835,1536.0,1331082,0.0,1.0
GOOG,2020-09-16,1520.9,1562.0,1519.82,1555.54,1312299,1520.9,1562.0,1519.82,1555.54,1312299,0.0,1.0
GOOG,2020-09-17,1495.53,1508.2984,1470.0001,1496.0,1879751,1495.53,1508.2984,1470.0001,1496.0,1879751,0.0,1.0
GOOG,2020-09-18,1459.99,1503.0032,1437.13,1498.01,3103882,1459.99,1503.0032,1437.13,1498.01,3103882,0.0,1.0
GOOG,2020-09-21,1431.16,1448.36,1406.55,1440.06,2888827,1431.16,1448.36,1406.55,1440.06,2888827,0.0,1.0
GOOG,2020-09-22,1465.46,1469.52,1434.53,1450.09,1583201,1465.46,1469.52,1434.53,1450.09,1583201,0.0,1.0
GOOG,2020-09-23,1415.21,1460.96,1407.7,1458.78,1657350,1415.21,1460.96,1407.7,1458.78,1657350,0.0,1.0
GOOG,2020-09-24,1428.29,1443.7088,1409.85,1411.03,1450216,1428.29,1443.7088,1409.85,1411.03,1450216,0.0,1.0
GOOG,2020-09-25,1444.96,1450.0,1413.34,1432.63,1323375,1444.96,1450.0,1413.34,1432.63,1323375,0.0,1.0
GOOG,2020-09-28,1464.52,1476.8,1449.3012,1474.21,2007941,1464.52,1476.8,1449.3012,1474.21,2007941,0.0,1.0
GOOG,2020-09-29,1469.33,1476.6632,1458.805,1470.39,979102,1469.33,1476.6632,1458.805,1470.39,979102,0.0,1.0
GOOG,2020-09-30,1469.6,1489.75,1459.88,1466.8,1701608,1469.6,1489.75,1459.88,1466.8,1701608,0.0,1.0
GOOG,2020-10-01,1490.09,1499.04,1479.21,1484.27,1779497,1490.09,1499.04,1479.21,1484.27,1779497,0.0,1.0
GOOG,2020-10-02,1458.42,1483.2,1450.92,1462.03,1284071,1458.42,1483.2,1450.92,1462.03,1284071,0.0,1.0
GOOG,2020-10-05,1486.02,1488.21,1464.27,1466.21,1113257,1486.02,1488.21,1464.27,1466.21,1113257,0.0,1.0
GOOG,2020-10-06,1453.44,1486.76,1448.5901,1475.58,1245423,1453.44,1486.76,1448.5901,1475.58,1245423,0.0,1.0
GOOG,2020-10-07,1460.29,1468.96,1436.0,1464.29,1746156,1460.29,1468.96,1436.0,1464.29,1746156,0.0,1.0
GOOG,2020-10-08,1485.93,1490.0,1465.09,1465.09,1187831,1485.93,1490.0,1465.09,1465.09,1187831,0.0,1.0
GOOG,2020-10-09,1515.22,1516.52,1489.45,1494.7,1435542,1515.22,1516.52,1489.45,1494.7,1435542,0.0,1.0
GOOG,2020-10-12,1569.15,1593.86,1532.57,1543.0,2482560,1569.15,1593.86,1532.57,1543.0,2482560,0.0,1.0
GOOG,2020-10-13,1571.68,1590.0,1563.2,1583.73,1601043,1571.68,1590.0,1563.2,1583.73,1601043,0.0,1.0
GOOG,2020-10-14,1568.08,1587.6841,1550.53,1578.59,1930990,1568.08,1587.6841,1550.53,1578.59,1930990,0.0,1.0
GOOG,2020-10-15,1559.13,1575.105,1545.03,1547.15,1540817,1559.13,1575.105,1545.03,1547.15,1540817,0.0,1.0
GOOG,2020-10-16,1573.01,1581.13,1563.0,1565.85,1435137,1573.01,1581.13,1563.0,1565.85,1435137,0.0,1.0
GOOG,2020-10-19,1534.61,1588.15,1528.0,1580.46,1607075,1534.61,1588.15,1528.0,1580.46,1607075,0.0,1.0
